カテゴリ,XBRL項目名,データタイプ,サンプル値,コンテキスト,単位,スケール,フォーマット
その他,tse-ed-t:ChangesBasedOnRevisionsOfAccountingStandard,その他,有,CurrentYearDuration_ConsolidatedMember_ResultMember,,,ixt:booleantrue
その他,tse-ed-t:ChangesInAccountingEstimates,その他,無,CurrentYearDuration_ConsolidatedMember_ResultMember,,,ixt:booleanfalse
その他,tse-ed-t:ChangesOtherThanOnesBasedOnRevisionsOfAccountingStandard,その他,無,CurrentYearDuration_ConsolidatedMember_ResultMember,,,ixt:booleanfalse
その他,tse-ed-t:ConveningBriefingOfAnnualResults,その他,有,CurrentYearInstant,,,ixt:booleantrue
その他,tse-ed-t:FASFMemberMark,その他,,CurrentYearInstant,,,ixt:booleantrue
その他,tse-ed-t:FiscalYearEnd,その他,2025-06-30,CurrentYearInstant,,,
その他,tse-ed-t:FukuokaStockExchange,その他,,CurrentYearInstant,,,ixt:booleanfalse
その他,tse-ed-t:FukuokaStockExchangeEstablished,その他,,CurrentYearInstant,,,ixt:booleanfalse
その他,tse-ed-t:FukuokaStockExchangeOthers,その他,,CurrentYearInstant,,,ixt:booleanfalse
その他,tse-ed-t:FukuokaStockExchangeQBoard,その他,,CurrentYearInstant,,,ixt:booleanfalse
その他,tse-ed-t:GeneralBusiness,その他,,CurrentYearInstant,,,ixt:booleantrue
その他,tse-ed-t:NagoyaStockExchange,その他,,CurrentYearInstant,,,ixt:booleanfalse
その他,tse-ed-t:NagoyaStockExchange1stSection,その他,,CurrentYearInstant,,,ixt:booleanfalse
その他,tse-ed-t:NagoyaStockExchange2ndSection,その他,,CurrentYearInstant,,,ixt:booleanfalse
その他,tse-ed-t:NagoyaStockExchangeCentrex,その他,,CurrentYearInstant,,,ixt:booleanfalse
その他,tse-ed-t:NagoyaStockExchangeOthers,その他,,CurrentYearInstant,,,ixt:booleanfalse
その他,tse-ed-t:NoteToChangesInAccountingPoliciesAndAccountingEstimatesRetrospectiveRestatement,その他,,CurrentYearDuration_ConsolidatedMember_ResultMember,,,
その他,tse-ed-t:NoteToConsolidatedFinancialResults,その他,,CurrentYearDuration_ConsolidatedMember_ResultMember,,,
その他,tse-ed-t:NoteToFinancialPositions,その他,,CurrentYearInstant_ConsolidatedMember_ResultMember,,,
その他,tse-ed-t:NoteToFinancialResults,その他,,CurrentYearDuration_NonConsolidatedMember_ResultMember,,,
その他,tse-ed-t:NoteToForecasts,その他,,NextYearDuration_ConsolidatedMember_ForecastMember,,,
その他,tse-ed-t:NoteToFractionProcessingMethod,その他,（百万円未満切捨て）,CurrentYearInstant,,,
その他,tse-ed-t:NotesForUsingForecastedInformationAndOthers,その他,（将来に関する記述等についてのご注意）　本資料に記載されている業績見通し等の将来に関する記述は、当社...,NextYearDuration,,,
その他,tse-ed-t:NumberOfSubsidiariesExcludedFromConsolidation,数量,,CurrentYearDuration_ConsolidatedMember_ResultMember,NumberOfCompanies,,
その他,tse-ed-t:NumberOfSubsidiariesNewlyConsolidated,数量,2,CurrentYearDuration_ConsolidatedMember_ResultMember,NumberOfCompanies,0,ixt:numdotdecimal
その他,tse-ed-t:NumberOfTreasuryStockAtTheEndOfFiscalYear,数量,"3,316,677",CurrentYearInstant_NonConsolidatedMember_ResultMember,Shares,0,ixt:numdotdecimal
その他,tse-ed-t:PreambleToForecasts,その他,,NextYearDuration_ConsolidatedMember_ForecastMember,,,
その他,tse-ed-t:RetrospectiveRestatement,その他,無,CurrentYearDuration_ConsolidatedMember_ResultMember,,,ixt:booleanfalse
その他,tse-ed-t:SapporoStockExchange,その他,,CurrentYearInstant,,,ixt:booleanfalse
その他,tse-ed-t:SapporoStockExchangeAmbitious,その他,,CurrentYearInstant,,,ixt:booleanfalse
その他,tse-ed-t:SapporoStockExchangeEstablished,その他,,CurrentYearInstant,,,ixt:booleanfalse
その他,tse-ed-t:SapporoStockExchangeOthers,その他,,CurrentYearInstant,,,ixt:booleanfalse
その他,tse-ed-t:SpecificBusiness,その他,,CurrentYearInstant,,,ixt:booleanfalse
その他,tse-ed-t:SupplementalMaterialOfAnnualResults,その他,有,CurrentYearInstant,,,ixt:booleantrue
その他,tse-ed-t:TargetAudienceBriefingOfAnnualResults,その他,（機関投資家・アナリスト向け）,CurrentYearInstant,,,
その他,tse-ed-t:TokyoStockExchange,その他,東,CurrentYearInstant,,,ixt:booleantrue
その他,tse-ed-t:TokyoStockExchangeGrowth,その他,,CurrentYearInstant,,,ixt:booleanfalse
