カテゴリ,XBRL項目名,サンプル値,コンテキスト,単位
その他詳細,jppfs_cor:AccruedExpenses,373,Prior1YearInstant,JPY
その他詳細,jppfs_cor:AccumulatedDepreciationBuildingsAndStructures,"4,115",Prior1YearInstant,JPY
その他詳細,jppfs_cor:AccumulatedDepreciationLeaseAssetsPPE,719,Prior1YearInstant,JPY
その他詳細,jppfs_cor:AccumulatedDepreciationToolsFurnitureAndFixtures,"2,894",Prior1YearInstant,JPY
その他詳細,jppfs_cor:AdvancesReceived,132,Prior1YearInstant,JPY
その他詳細,jppfs_cor:Assets,"93,901",Prior1YearInstant,JPY
その他詳細,jppfs_cor:BuildingsAndStructures,"5,761",Prior1YearInstant,JPY
その他詳細,jppfs_cor:BuildingsAndStructuresNet,"1,646",Prior1YearInstant,JPY
その他詳細,jppfs_cor:ConstructionInProgress,410,Prior1YearInstant,JPY
その他詳細,jppfs_cor:ContractLiabilities,"1,999",Prior1YearInstant,JPY
その他詳細,jppfs_cor:CostsOnUncompletedConstructionContractsCNS,58,Prior1YearInstant,JPY
その他詳細,jppfs_cor:CurrentAssets,"56,194",Prior1YearInstant,JPY
その他詳細,jppfs_cor:CurrentLiabilities,"9,973",Prior1YearInstant,JPY
その他詳細,jppfs_cor:DeferredTaxAssets,"2,150",Prior1YearInstant,JPY
その他詳細,jppfs_cor:DeferredTaxLiabilities,722,Prior1YearInstant,JPY
その他詳細,jppfs_cor:ForeignCurrencyTranslationAdjustment,"4,110",Prior1YearInstant,JPY
その他詳細,jppfs_cor:Goodwill,"1,778",Prior1YearInstant,JPY
その他詳細,jppfs_cor:IntangibleAssets,"2,270",Prior1YearInstant,JPY
その他詳細,jppfs_cor:InvestmentSecurities,"3,550",Prior1YearInstant,JPY
その他詳細,jppfs_cor:InvestmentsAndOtherAssets,"24,591",Prior1YearInstant,JPY
その他詳細,jppfs_cor:Land,"5,726",Prior1YearInstant,JPY
その他詳細,jppfs_cor:LeaseAssetsIA,2,Prior1YearInstant,JPY
その他詳細,jppfs_cor:LeaseAssetsNetPPE,"1,061",Prior1YearInstant,JPY
その他詳細,jppfs_cor:LeaseAssetsPPE,"1,780",Prior1YearInstant,JPY
その他詳細,jppfs_cor:LeaseInvestmentAssetsCA,665,Prior1YearInstant,JPY
その他詳細,jppfs_cor:LeaseObligationsCL,418,Prior1YearInstant,JPY
その他詳細,jppfs_cor:LeaseObligationsNCL,799,Prior1YearInstant,JPY
その他詳細,jppfs_cor:Liabilities,"13,387",Prior1YearInstant,JPY
その他詳細,jppfs_cor:LiabilitiesAndNetAssets,"93,901",Prior1YearInstant,JPY
その他詳細,jppfs_cor:NetAssets,"80,514",Prior1YearInstant,JPY
